Item,Translation
Acacia Door,金合欢木门
Acacia Fence,金合欢木栅栏
Acacia Fence Gate,金合欢木栅栏门
Acacia Hanging Sign,悬挂式金合欢木告示牌
Acacia Leaves,金合欢树叶
Acacia Log,金合欢原木
Acacia Planks,金合欢木板
Acacia Pressure Plate,金合欢木压力板
Acacia Sapling,金合欢树苗
Acacia Sign,金合欢木告示牌
Acacia Slab,金合欢木台阶
Acacia Stairs,金合欢木楼梯
Acacia Trapdoor,金合欢木活板门
Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌
Acacia Wall Sign,墙上的金合欢木告示牌
Acacia Wood,金合欢木
Activator Rail,激活铁轨
Air,空气
Allium,绒球葱
Amethyst Bud,紫晶芽
Amethyst Cluster,紫水晶簇
Ancient Debris,远古残骸
Andesite,安山岩
Andesite Slab,安山岩台阶
Andesite Stairs,安山岩楼梯
Andesite Wall,安山岩墙
Anvil,铁砧
Attached Melon Stem,结果的西瓜茎
Attached Pumpkin Stem,结果的南瓜茎
Azalea,杜鹃花丛
Azalea Leaves,杜鹃树叶
Azure Bluet,蓝花美耳草
Bamboo,竹子
Bamboo Button,竹按钮
Bamboo Door,竹门
Bamboo Fence,竹栅栏
Bamboo Fence Gate,竹栅栏门
Bamboo Hanging Sign,悬挂式竹告示牌
Bamboo Mosaic,竹马赛克
Bamboo Mosaic Slab,竹马赛克台阶
Bamboo Mosaic Stairs,竹马赛克楼梯
Bamboo Planks,竹板
Bamboo Pressure Plate,竹压力板
Bamboo Shoot,竹笋
Bamboo Sign,竹告示牌
Bamboo Slab,竹台阶
Bamboo Stairs,竹楼梯
Bamboo Trapdoor,竹活板门
Bamboo Wall Hanging Sign,墙上的悬挂式竹告示牌
Bamboo Wall Sign,墙上的竹告示牌
Banner,旗帜
Barrel,木桶
Barrier,屏障
Basalt,玄武岩
Beacon,信标
Bed,床
Bedrock,基岩
Bee Nest,蜂巢
Beehive,蜂箱
Beetroots,甜菜根
Bell,钟
Big Dripleaf,大型垂滴叶
Big Dripleaf Stem,大型垂滴叶茎
Birch Button,白桦木按钮
Birch Door,白桦木门
Birch Fence,白桦木栅栏
Birch Fence Gate,白桦木栅栏门
Birch Hanging Sign,悬挂式白桦木告示牌
Birch Leaves,白桦树叶
Birch Log,白桦原木
Birch Planks,白桦木板
Birch Pressure Plate,白桦木压力板
Birch Sapling,白桦树苗
Birch Sign,白桦木告示牌
Birch Slab,白桦木台阶
Birch Stairs,白桦木楼梯
Birch Trapdoor,白桦木活板门
Birch Wall Hanging Sign,墙上的悬挂式白桦木告示牌
Birch Wall Sign,墙上的白桦木告示牌
Birch Wood,白桦木
Black Banner,黑色旗帜
Black Bed,黑色床
Black Candle,黑色蜡烛
Black Carpet,黑色地毯
Black Concrete,黑色混凝土
Black Concrete Powder,黑色混凝土粉末
Black Glazed Terracotta,黑色带釉陶瓦
Black Shulker Box,黑色潜影盒
Black Stained Glass,黑色染色玻璃
Black Stained Glass Pane,黑色染色玻璃板
Black Terracotta,黑色陶瓦
Black Wall Banner,墙上的黑色旗帜
Black Wool,黑色羊毛
Blackstone,黑石
Blackstone Slab,黑石台阶
Blackstone Stairs,黑石楼梯
Blackstone Wall,黑石墙
Blast Furnace,高炉
Block of Amethyst,紫水晶块
Block of Bamboo,竹块
Block of Coal,煤炭块
Block of Copper,铜块
Block of Diamond,钻石块
Block of Emerald,绿宝石块
Block of Gold,金块
Block of Iron,铁块
Block of Lapis Lazuli,青金石块
Block of Netherite,下界合金块
Block of Quartz,石英块
Block of Raw Copper,粗铜块
Block of Raw Gold,粗金块
Block of Raw Iron,粗铁块
Block of Redstone,红石块
Block of Stripped Bamboo,去皮竹块
Blue Banner,蓝色旗帜
Blue Bed,蓝色床
Blue Candle,蓝色蜡烛
Blue Carpet,蓝色地毯
Blue Concrete,蓝色混凝土
Blue Concrete Powder,蓝色混凝土粉末
Blue Glazed Terracotta,蓝色带釉陶瓦
Blue Ice,蓝冰
Blue Orchid,兰花
Blue Shulker Box,蓝色潜影盒
Blue Stained Glass,蓝色染色玻璃
Blue Stained Glass Pane,蓝色染色玻璃板
Blue Terracotta,蓝色陶瓦
Blue Wall Banner,墙上的蓝色旗帜
Blue Wool,蓝色羊毛
Bone Block,骨块
Bookshelf,书架
Brain Coral,脑纹珊瑚
Brain Coral Block,脑纹珊瑚块
Brain Coral Fan,脑纹珊瑚扇
Brain Coral Wall Fan,墙上的脑纹珊瑚扇
Brewing Stand,酿造台
Brick Slab,红砖台阶
Brick Stairs,红砖楼梯
Brick Wall,红砖墙
Bricks,红砖块
Brown Banner,棕色旗帜
Brown Bed,棕色床
Brown Candle,棕色蜡烛
Brown Carpet,棕色地毯
Brown Concrete,棕色混凝土
Brown Concrete Powder,棕色混凝土粉末
Brown Glazed Terracotta,棕色带釉陶瓦
Brown Mushroom,棕色蘑菇
Brown Mushroom Block,棕色蘑菇方块
Brown Shulker Box,棕色潜影盒
Brown Stained Glass,棕色染色玻璃
Brown Stained Glass Pane,棕色染色玻璃板
Brown Terracotta,棕色陶瓦
Brown Wall Banner,墙上的棕色旗帜
Brown Wool,棕色羊毛
Bubble Column,气泡柱
Bubble Coral,气泡珊瑚
Bubble Coral Block,气泡珊瑚块
Bubble Coral Fan,气泡珊瑚扇
Bubble Coral Wall Fan,墙上的气泡珊瑚扇
Budding Amethyst,紫水晶母岩
Button,按钮
Cactus,仙人掌
Cake,蛋糕
Cake With Black Candle,插上黑色蜡烛的蛋糕
Cake With Blue Candle,插上蓝色蜡烛的蛋糕
Cake With Brown Candle,插上棕色蜡烛的蛋糕
Cake With Candle,插上蜡烛的蛋糕
Cake With Cyan Candle,插上青色蜡烛的蛋糕
Cake With Gray Candle,插上灰色蜡烛的蛋糕
Cake With Green Candle,插上绿色蜡烛的蛋糕
Cake With Light Blue Candle,插上淡蓝色蜡烛的蛋糕
Cake With Light Gray Candle,插上淡灰色蜡烛的蛋糕
Cake With Lime Candle,插上黄绿色蜡烛的蛋糕
Cake With Magenta Candle,插上品红色蜡烛的蛋糕
Cake With Orange Candle,插上橙色蜡烛的蛋糕
Cake With Pink Candle,插上粉红色蜡烛的蛋糕
Cake With Purple Candle,插上紫色蜡烛的蛋糕
Cake With Red Candle,插上红色蜡烛的蛋糕
Cake With White Candle,插上白色蜡烛的蛋糕
Cake With Yellow Candle,插上黄色蜡烛的蛋糕
Calcite,方解石
Calibrated Sculk Sensor,校频幽匿感测体
Campfire,营火
Candle,蜡烛
Carpet,地毯
Carrots,胡萝卜
Cartography Table,制图台
Carved Pumpkin,雕刻南瓜
Cauldron,炼药锅
Cave Air,洞穴空气
Cave Vines,洞穴藤蔓
Cave Vines Plant,洞穴藤蔓植株
Chain,锁链
Chain Command Block,连锁型命令方块
Cherry Button,樱花木按钮
Cherry Door,樱花木门
Cherry Fence,樱花木栅栏
Cherry Fence Gate,樱花木栅栏门
Cherry Hanging Sign,悬挂式樱花木告示牌
Cherry Leaves,樱花树叶
Cherry Log,樱花原木
Cherry Planks,樱花木板
Cherry Pressure Plate,樱花木压力板
Cherry Sapling,樱花树苗
Cherry Sign,樱花木告示牌
Cherry Slab,樱花木台阶
Cherry Stairs,樱花木楼梯
Cherry Trapdoor,樱花木活板门
Cherry Wall Hanging Sign,墙上的悬挂式樱花木告示牌
Cherry Wall Sign,墙上的樱花木告示牌
Cherry Wood,樱花木
Chest,箱子
Chipped Anvil,开裂的铁砧
Chiseled Bookshelf,雕纹书架
Chiseled Copper,雕纹铜块
Chiseled Deepslate,雕纹深板岩
Chiseled Nether Bricks,雕纹下界砖块
Chiseled Polished Blackstone,雕纹磨制黑石
Chiseled Quartz Block,雕纹石英块
Chiseled Red Sandstone,雕纹红砂岩
Chiseled Sandstone,雕纹砂岩
Chiseled Stone Bricks,雕纹石砖
Chiseled Tuff,雕纹凝灰岩
Chiseled Tuff Bricks,雕纹凝灰岩砖
Chorus Flower,紫颂花
Chorus Plant,紫颂植株
Clay,黏土块
Coal Ore,煤矿石
Coarse Dirt,砂土
Cobbled Deepslate,深板岩圆石
Cobbled Deepslate Slab,深板岩圆石台阶
Cobbled Deepslate Stairs,深板岩圆石楼梯
Cobbled Deepslate Wall,深板岩圆石墙
Cobblestone,圆石
Cobblestone Slab,圆石台阶
Cobblestone Stairs,圆石楼梯
Cobblestone Wall,圆石墙
Cobweb,蜘蛛网
Cocoa,可可果
Command Block,命令方块
Composter,堆肥桶
Concrete,混凝土
Concrete Powder,混凝土粉末
Conduit,潮涌核心
Copper Bulb,铜灯
Copper Door,铜门
Copper Grate,铜格栅
Copper Ore,铜矿石
Copper Trapdoor,铜活板门
Coral,珊瑚
Coral Block,珊瑚块
Coral Fan,珊瑚扇
Coral Wall Fan,墙上的珊瑚扇
Cornflower,矢车菊
Cracked Deepslate Bricks,裂纹深板岩砖
Cracked Deepslate Tiles,裂纹深板岩瓦
Cracked Nether Bricks,裂纹下界砖块
Cracked Polished Blackstone Bricks,裂纹磨制黑石砖
Cracked Stone Bricks,裂纹石砖
Crafter,合成器
Crafting Table,工作台
Creeper Head,苦力怕的头
Creeper Wall Head,墙上的苦力怕的头
Crimson Button,绯红木按钮
Crimson Door,绯红木门
Crimson Fence,绯红木栅栏
Crimson Fence Gate,绯红木栅栏门
Crimson Fungus,绯红菌
Crimson Hanging Sign,悬挂式绯红木告示牌
Crimson Hyphae,绯红菌核
Crimson Nylium,绯红菌岩
Crimson Planks,绯红木板
Crimson Pressure Plate,绯红木压力板
Crimson Roots,绯红菌索
Crimson Sign,绯红木告示牌
Crimson Slab,绯红木台阶
Crimson Stairs,绯红木楼梯
Crimson Stem,绯红菌柄
Crimson Trapdoor,绯红木活板门
Crimson Wall Hanging Sign,墙上的悬挂式绯红木告示牌
Crimson Wall Sign,墙上的绯红木告示牌
Crying Obsidian,哭泣的黑曜石
Cut Copper,切制铜块
Cut Copper Slab,切制铜台阶
Cut Copper Stairs,切制铜楼梯
Cut Red Sandstone,切制红砂岩
Cut Red Sandstone Slab,切制红砂岩台阶
Cut Sandstone,切制砂岩
Cut Sandstone Slab,切制砂岩台阶
Cyan Banner,青色旗帜
Cyan Bed,青色床
Cyan Candle,青色蜡烛
Cyan Carpet,青色地毯
Cyan Concrete,青色混凝土
Cyan Concrete Powder,青色混凝土粉末
Cyan Glazed Terracotta,青色带釉陶瓦
Cyan Shulker Box,青色潜影盒
Cyan Stained Glass,青色染色玻璃
Cyan Stained Glass Pane,青色染色玻璃板
Cyan Terracotta,青色陶瓦
Cyan Wall Banner,墙上的青色旗帜
Cyan Wool,青色羊毛
Damaged Anvil,损坏的铁砧
Dandelion,蒲公英
Dark Oak Button,深色橡木按钮
Dark Oak Door,深色橡木门
Dark Oak Fence,深色橡木栅栏
Dark Oak Fence Gate,深色橡木栅栏门
Dark Oak Hanging Sign,悬挂式深色橡木告示牌
Dark Oak Leaves,深色橡树树叶
Dark Oak Log,深色橡木原木
Dark Oak Planks,深色橡木木板
Dark Oak Pressure Plate,深色橡木压力板
Dark Oak Sapling,深色橡树树苗
Dark Oak Sign,深色橡木告示牌
Dark Oak Slab,深色橡木台阶
Dark Oak Stairs,深色橡木楼梯
Dark Oak Trapdoor,深色橡木活板门
Dark Oak Wall Hanging Sign,墙上的悬挂式深色橡木告示牌
Dark Oak Wall Sign,墙上的深色橡木告示牌
Dark Oak Wood,深色橡木
Dark Prismarine,暗海晶石
Dark Prismarine Slab,暗海晶石台阶
Dark Prismarine Stairs,暗海晶石楼梯
Daylight Detector,阳光探测器
Dead Brain Coral,失活的脑纹珊瑚
Dead Brain Coral Block,失活的脑纹珊瑚块
Dead Brain Coral Fan,失活的脑纹珊瑚扇
Dead Brain Coral Wall Fan,墙上的失活脑纹珊瑚扇
Dead Bubble Coral,失活的气泡珊瑚
Dead Bubble Coral Block,失活的气泡珊瑚块
Dead Bubble Coral Fan,失活的气泡珊瑚扇
Dead Bubble Coral Wall Fan,墙上的失活气泡珊瑚扇
Dead Bush,枯萎的灌木
Dead Coral,失活的珊瑚
Dead Coral Blocks,失活的珊瑚块
Dead Coral Fans,失活的珊瑚扇
Dead Coral Wall Fan,墙上的失活珊瑚扇
Dead Fire Coral,失活的火珊瑚
Dead Fire Coral Block,失活的火珊瑚块
Dead Fire Coral Fan,失活的火珊瑚扇
Dead Fire Coral Wall Fan,墙上的失活火珊瑚扇
Dead Horn Coral,失活的鹿角珊瑚
Dead Horn Coral Block,失活的鹿角珊瑚块
Dead Horn Coral Fan,失活的鹿角珊瑚扇
Dead Horn Coral Wall Fan,墙上的失活鹿角珊瑚扇
Dead Tube Coral,失活的管珊瑚
Dead Tube Coral Block,失活的管珊瑚块
Dead Tube Coral Fan,失活的管珊瑚扇
Dead Tube Coral Wall Fan,墙上的失活管珊瑚扇
Decorated Pot,饰纹陶罐
Deepslate,深板岩
Deepslate Brick Slab,深板岩砖台阶
Deepslate Brick Stairs,深板岩砖楼梯
Deepslate Brick Wall,深板岩砖墙
Deepslate Bricks,深板岩砖
Deepslate Coal Ore,深层煤矿石
Deepslate Copper Ore,深层铜矿石
Deepslate Diamond Ore,深层钻石矿石
Deepslate Emerald Ore,深层绿宝石矿石
Deepslate Gold Ore,深层金矿石
Deepslate Iron Ore,深层铁矿石
Deepslate Lapis Lazuli Ore,深层青金石矿石
Deepslate Redstone Ore,深层红石矿石
Deepslate Tile Slab,深板岩瓦台阶
Deepslate Tile Stairs,深板岩瓦楼梯
Deepslate Tile Wall,深板岩瓦墙
Deepslate Tiles,深板岩瓦
Detector Rail,探测铁轨
Diamond Ore,钻石矿石
Diorite,闪长岩
Diorite Slab,闪长岩台阶
Diorite Stairs,闪长岩楼梯
Diorite Wall,闪长岩墙
Dirt,泥土
Dirt Path,土径
Dispenser,发射器
Door,门
Dragon Egg,龙蛋
Dragon Head,龙首
Dragon Wall Head,墙上的龙首
Dried Kelp Block,干海带块
Dripstone Block,滴水石块
Dropper,投掷器
Emerald Ore,绿宝石矿石
Enchanting Table,附魔台
End Gateway,末地折跃门
End Portal,末地传送门
End Portal Frame,末地传送门框架
End Rod,末地烛
End Stone,末地石
End Stone Brick Slab,末地石砖台阶
End Stone Brick Stairs,末地石砖楼梯
End Stone Brick Wall,末地石砖墙
End Stone Bricks,末地石砖
Ender Chest,末影箱
Exposed Chiseled Copper,斑驳的雕纹铜块
Exposed Copper,斑驳的铜块
Exposed Copper Bulb,斑驳的铜灯
Exposed Copper Door,斑驳的铜门
Exposed Copper Grate,斑驳的铜格栅
Exposed Copper Trapdoor,斑驳的铜活板门
Exposed Cut Copper,斑驳的切制铜块
Exposed Cut Copper Slab,斑驳的切制铜台阶
Exposed Cut Copper Stairs,斑驳的切制铜楼梯
Farmland,耕地
Fence,栅栏
Fence Gate,栅栏门
Fern,蕨
Fire,火
Fire Coral,火珊瑚
Fire Coral Block,火珊瑚块
Fire Coral Fan,火珊瑚扇
Fire Coral Wall Fan,墙上的火珊瑚扇
Fletching Table,制箭台
Flower,花
Flower Pot,花盆
Flowering Azalea,盛开的杜鹃花丛
Flowering Azalea Leaves,盛开的杜鹃树叶
Froglight,蛙明灯
Frogspawn,青蛙卵
Frosted Ice,霜冰
Fungus,菌类
Furnace,熔炉
Gilded Blackstone,镶金黑石
Glass,玻璃
Glass Pane,玻璃板
Glazed Terracotta,带釉陶瓦
Glow Lichen,发光地衣
Glowstone,荧石
Gold Ore,金矿石
Granite,花岗岩
Granite Slab,花岗岩台阶
Granite Stairs,花岗岩楼梯
Granite Wall,花岗岩墙
Grass,草
Grass Block,草方块
Gravel,沙砾
Gray Banner,灰色旗帜
Gray Bed,灰色床
Gray Candle,灰色蜡烛
Gray Carpet,灰色地毯
Gray Concrete,灰色混凝土
Gray Concrete Powder,灰色混凝土粉末
Gray Glazed Terracotta,灰色带釉陶瓦
Gray Shulker Box,灰色潜影盒
Gray Stained Glass,灰色染色玻璃
Gray Stained Glass Pane,灰色染色玻璃板
Gray Terracotta,灰色陶瓦
Gray Wall Banner,墙上的灰色旗帜
Gray Wool,灰色羊毛
Green Banner,绿色旗帜
Green Bed,绿色床
Green Candle,绿色蜡烛
Green Carpet,绿色地毯
Green Concrete,绿色混凝土
Green Concrete Powder,绿色混凝土粉末
Green Glazed Terracotta,绿色带釉陶瓦
Green Shulker Box,绿色潜影盒
Green Stained Glass,绿色染色玻璃
Green Stained Glass Pane,绿色染色玻璃板
Green Terracotta,绿色陶瓦
Green Wall Banner,墙上的绿色旗帜
Green Wool,绿色羊毛
Grindstone,砂轮
Hanging Roots,垂根
Hanging Sign,悬挂式告示牌
Hay Bale,干草捆
Head,头颅
Heavy Weighted Pressure Plate,重质测重压力板
Honey Block,蜂蜜块
Honeycomb Block,蜜脾块
Hopper,漏斗
Horn Coral,鹿角珊瑚
Horn Coral Block,鹿角珊瑚块
Horn Coral Fan,鹿角珊瑚扇
Horn Coral Wall Fan,墙上的鹿角珊瑚扇
Huge Mushroom,巨型蘑菇
Hyphae,菌核
Ice,冰
Infested Chiseled Stone Bricks,虫蚀雕纹石砖
Infested Cobblestone,虫蚀圆石
Infested Cracked Stone Bricks,虫蚀裂纹石砖
Infested Deepslate,虫蚀深板岩
Infested Mossy Stone Bricks,虫蚀苔石砖
Infested Stone,虫蚀石头
Infested Stone Bricks,虫蚀石砖
Iron Bars,铁栏杆
Iron Door,铁门
Iron Ore,铁矿石
Iron Trapdoor,铁活板门
Jack O'lantern,南瓜灯
Jigsaw Block,拼图方块
Jukebox,唱片机
Jungle Button,丛林木按钮
Jungle Door,丛林木门
Jungle Fence,丛林木栅栏
Jungle Fence Gate,丛林木栅栏门
Jungle Hanging Sign,悬挂式丛林木告示牌
Jungle Leaves,丛林树叶
Jungle Log,丛林原木
Jungle Planks,丛林木板
Jungle Pressure Plate,丛林木压力板
Jungle Sapling,丛林树苗
Jungle Sign,丛林木告示牌
Jungle Slab,丛林木台阶
Jungle Stairs,丛林木楼梯
Jungle Trapdoor,丛林木活板门
Jungle Wall Hanging Sign,墙上的悬挂式丛林木告示牌
Jungle Wall Sign,墙上的丛林木告示牌
Jungle Wood,丛林木
Kelp,海带
Kelp Plant,海带植株
Ladder,梯子
Lantern,灯笼
Lapis Lazuli Ore,青金石矿石
Large Amethyst Bud,大型紫晶芽
Large Fern,大型蕨
Lava,熔岩
Lava Cauldron,装有熔岩的炼药锅
Leaves,树叶
Lectern,讲台
Lever,拉杆
Light,光源方块
Light Blue Banner,淡蓝色旗帜
Light Blue Bed,淡蓝色床
Light Blue Candle,淡蓝色蜡烛
Light Blue Carpet,淡蓝色地毯
Light Blue Concrete,淡蓝色混凝土
Light Blue Concrete Powder,淡蓝色混凝土粉末
Light Blue Glazed Terracotta,淡蓝色带釉陶瓦
Light Blue Shulker Box,淡蓝色潜影盒
Light Blue Stained Glass,淡蓝色染色玻璃
Light Blue Stained Glass Pane,淡蓝色染色玻璃板
Light Blue Terracotta,淡蓝色陶瓦
Light Blue Wall Banner,墙上的淡蓝色旗帜
Light Blue Wool,淡蓝色羊毛
Light Gray Banner,淡灰色旗帜
Light Gray Bed,淡灰色床
Light Gray Candle,淡灰色蜡烛
Light Gray Carpet,淡灰色地毯
Light Gray Concrete,淡灰色混凝土
Light Gray Concrete Powder,淡灰色混凝土粉末
Light Gray Glazed Terracotta,淡灰色带釉陶瓦
Light Gray Shulker Box,淡灰色潜影盒
Light Gray Stained Glass,淡灰色染色玻璃
Light Gray Stained Glass Pane,淡灰色染色玻璃板
Light Gray Terracotta,淡灰色陶瓦
Light Gray Wall Banner,墙上的淡灰色旗帜
Light Gray Wool,淡灰色羊毛
Light Weighted Pressure Plate,轻质测重压力板
Lightning Rod,避雷针
Lilac,丁香
Lily of The Valley,铃兰
Lily Pad,睡莲
Lime Banner,黄绿色旗帜
Lime Bed,黄绿色床
Lime Candle,黄绿色蜡烛
Lime Carpet,黄绿色地毯
Lime Concrete,黄绿色混凝土
Lime Concrete Powder,黄绿色混凝土粉末
Lime Glazed Terracotta,黄绿色带釉陶瓦
Lime Shulker Box,黄绿色潜影盒
Lime Stained Glass,黄绿色染色玻璃
Lime Stained Glass Pane,黄绿色染色玻璃板
Lime Terracotta,黄绿色陶瓦
Lime Wall Banner,墙上的黄绿色旗帜
Lime Wool,黄绿色羊毛
Locked Chest,上锁的箱子
Lodestone,磁石
Log,原木
Loom,织布机
Magenta Banner,品红色旗帜
Magenta Bed,品红色床
Magenta Candle,品红色蜡烛
Magenta Carpet,品红色地毯
Magenta Concrete,品红色混凝土
Magenta Concrete Powder,品红色混凝土粉末
Magenta Glazed Terracotta,品红色带釉陶瓦
Magenta Shulker Box,品红色潜影盒
Magenta Stained Glass,品红色染色玻璃
Magenta Stained Glass Pane,品红色染色玻璃板
Magenta Terracotta,品红色陶瓦
Magenta Wall Banner,墙上的品红色旗帜
Magenta Wool,品红色羊毛
Magma Block,岩浆块
Mangrove Button,红树木按钮
Mangrove Door,红树木门
Mangrove Fence,红树木栅栏
Mangrove Fence Gate,红树木栅栏门
Mangrove Hanging Sign,悬挂式红树木告示牌
Mangrove Leaves,红树树叶
Mangrove Log,红树原木
Mangrove Planks,红树木板
Mangrove Pressure Plate,红树木压力板
Mangrove Propagule,红树胎生苗
Mangrove Roots,红树根
Mangrove Sign,红树木告示牌
Mangrove Slab,红树木台阶
Mangrove Stairs,红树木楼梯
Mangrove Trapdoor,红树木活板门
Mangrove Wall Hanging Sign,墙上的悬挂式红树木告示牌
Mangrove Wall Sign,墙上的红树木告示牌
Mangrove Wood,红树木
Medium Amethyst Bud,中型紫晶芽
Melon,西瓜
Melon Stem,西瓜茎
Monster Spawner,刷怪笼
Moss Block,苔藓块
Moss Carpet,覆地苔藓
Mossy Cobblestone,苔石
Mossy Cobblestone Slab,苔石台阶
Mossy Cobblestone Stairs,苔石楼梯
Mossy Cobblestone Wall,苔石墙
Mossy Stone Brick Slab,苔石砖台阶
Mossy Stone Brick Stairs,苔石砖楼梯
Mossy Stone Brick Wall,苔石砖墙
Mossy Stone Bricks,苔石砖
Moving Piston,移动的活塞
Mud,泥巴
Mud Brick Slab,泥砖台阶
Mud Brick Stairs,泥砖楼梯
Mud Brick Wall,泥砖墙
Mud Bricks,泥砖
Muddy Mangrove Roots,沾泥的红树根
Mushroom,蘑菇
Mushroom Block,蘑菇方块
Mushroom Stem,蘑菇柄
Mycelium,菌丝体
Nether Brick Fence,下界砖栅栏
Nether Brick Slab,下界砖台阶
Nether Brick Stairs,下界砖楼梯
Nether Brick Wall,下界砖墙
Nether Bricks,下界砖块
Nether Gold Ore,下界金矿石
Nether Portal,下界传送门
Nether Quartz Ore,下界石英矿石
Nether Sprouts,下界苗
Nether Wart,下界疣
Nether Wart Block,下界疣块
Netherrack,下界岩
Note Block,音符盒
Nylium,菌岩
Oak Button,橡木按钮
Oak Door,橡木门
Oak Fence,橡木栅栏
Oak Fence Gate,橡木栅栏门
Oak Hanging Sign,悬挂式橡木告示牌
Oak Leaves,橡树树叶
Oak Log,橡木原木
Oak Planks,橡木木板
Oak Pressure Plate,橡木压力板
Oak Sapling,橡树树苗
Oak Sign,橡木告示牌
Oak Slab,橡木台阶
Oak Stairs,橡木楼梯
Oak Trapdoor,橡木活板门
Oak Wall Hanging Sign,墙上的悬挂式橡木告示牌
Oak Wall Sign,墙上的橡木告示牌
Oak Wood,橡木
Observer,侦测器
Obsidian,黑曜石
Ochre Froglight,赭黄蛙明灯
Ominous Banner,灾厄旗帜
Orange Banner,橙色旗帜
Orange Bed,橙色床
Orange Candle,橙色蜡烛
Orange Carpet,橙色地毯
Orange Concrete,橙色混凝土
Orange Concrete Powder,橙色混凝土粉末
Orange Glazed Terracotta,橙色带釉陶瓦
Orange Shulker Box,橙色潜影盒
Orange Stained Glass,橙色染色玻璃
Orange Stained Glass Pane,橙色染色玻璃板
Orange Terracotta,橙色陶瓦
Orange Tulip,橙色郁金香
Orange Wall Banner,墙上的橙色旗帜
Orange Wool,橙色羊毛
Oxeye Daisy,滨菊
Oxidized Chiseled Copper,氧化的雕纹铜块
Oxidized Copper,氧化的铜块
Oxidized Copper Bulb,氧化的铜灯
Oxidized Copper Door,氧化的铜门
Oxidized Copper Grate,氧化的铜格栅
Oxidized Copper Trapdoor,氧化的铜活板门
Oxidized Cut Copper,氧化的切制铜块
Oxidized Cut Copper Slab,氧化的切制铜台阶
Oxidized Cut Copper Stairs,氧化的切制铜楼梯
Packed Ice,浮冰
Packed Mud,泥坯
Pearlescent Froglight,珠光蛙明灯
Peony,牡丹
Petrified Oak Slab,石化橡木台阶
Piglin Head,猪灵的头
Piglin Wall Head,墙上的猪灵的头
Pink Banner,粉红色旗帜
Pink Bed,粉红色床
Pink Candle,粉红色蜡烛
Pink Carpet,粉红色地毯
Pink Concrete,粉红色混凝土
Pink Concrete Powder,粉红色混凝土粉末
Pink Glazed Terracotta,粉红色带釉陶瓦
Pink Petals,粉红色花簇
Pink Shulker Box,粉红色潜影盒
Pink Stained Glass,粉红色染色玻璃
Pink Stained Glass Pane,粉红色染色玻璃板
Pink Terracotta,粉红色陶瓦
Pink Tulip,粉红色郁金香
