Item,Translation
Pink Wall Banner,墙上的粉红色旗帜
Pink Wool,粉红色羊毛
Piston,活塞
Piston Head,活塞头
Pitcher Crop,瓶子草植株
Pitcher Plant,瓶子草
Plank,木板
Player Head,玩家的头
Player Wall Head,墙上的玩家的头
Podzol,灰化土
Pointed Dripstone,滴水石锥
Polished Andesite,磨制安山岩
Polished Andesite Slab,磨制安山岩台阶
Polished Andesite Stairs,磨制安山岩楼梯
Polished Basalt,磨制玄武岩
Polished Blackstone,磨制黑石
Polished Blackstone Brick Slab,磨制黑石砖台阶
Polished Blackstone Brick Stairs,磨制黑石砖楼梯
Polished Blackstone Brick Wall,磨制黑石砖墙
Polished Blackstone Bricks,磨制黑石砖
Polished Blackstone Button,磨制黑石按钮
Polished Blackstone Pressure Plate,磨制黑石压力板
Polished Blackstone Slab,磨制黑石台阶
Polished Blackstone Stairs,磨制黑石楼梯
Polished Blackstone Wall,磨制黑石墙
Polished Deepslate,磨制深板岩
Polished Deepslate Slab,磨制深板岩台阶
Polished Deepslate Stairs,磨制深板岩楼梯
Polished Deepslate Wall,磨制深板岩墙
Polished Diorite,磨制闪长岩
Polished Diorite Slab,磨制闪长岩台阶
Polished Diorite Stairs,磨制闪长岩楼梯
Polished Granite,磨制花岗岩
Polished Granite Slab,磨制花岗岩台阶
Polished Granite Stairs,磨制花岗岩楼梯
Polished Tuff,磨制凝灰岩
Polished Tuff Slab,磨制凝灰岩台阶
Polished Tuff Stairs,磨制凝灰岩楼梯
Polished Tuff Wall,磨制凝灰岩墙
Poppy,虞美人
Potatoes,马铃薯
Potted Acacia Sapling,金合欢树苗盆栽
Potted Allium,绒球葱盆栽
Potted Azalea,杜鹃花丛盆栽
Potted Azure Bluet,蓝花美耳草盆栽
Potted Bamboo,竹子盆栽
Potted Birch Sapling,白桦树苗盆栽
Potted Blue Orchid,兰花盆栽
Potted Brown Mushroom,棕色蘑菇盆栽
Potted Cactus,仙人掌盆栽
Potted Cherry Sapling,樱花树苗盆栽
Potted Cornflower,矢车菊盆栽
Potted Crimson Fungus,绯红菌盆栽
Potted Crimson Roots,绯红菌索盆栽
Potted Dandelion,蒲公英盆栽
Potted Dark Oak Sapling,深色橡树树苗盆栽
Potted Dead Bush,枯萎的灌木盆栽
Potted Fern,蕨盆栽
Potted Flowering Azalea,盛开的杜鹃花丛盆栽
Potted Jungle Sapling,丛林树苗盆栽
Potted Lily of The Valley,铃兰盆栽
Potted Mangrove Propagule,红树胎生苗盆栽
Potted Oak Sapling,橡树树苗盆栽
Potted Orange Tulip,橙色郁金香盆栽
Potted Oxeye Daisy,滨菊盆栽
Potted Pink Tulip,粉红色郁金香盆栽
Potted Poppy,虞美人盆栽
Potted Red Mushroom,红色蘑菇盆栽
Potted Red Tulip,红色郁金香盆栽
Potted Spruce Sapling,云杉树苗盆栽
Potted Torchflower,火把花盆栽
Potted Warped Fungus,诡异菌盆栽
Potted Warped Roots,诡异菌索盆栽
Potted White Tulip,白色郁金香盆栽
Potted Wither Rose,凋灵玫瑰盆栽
Powder Snow,细雪
Powder Snow Cauldron,装有细雪的炼药锅
Powered Rail,动力铁轨
Pressure Plate,压力板
Prismarine,海晶石
Prismarine Brick Slab,海晶石砖台阶
Prismarine Brick Stairs,海晶石砖楼梯
Prismarine Bricks,海晶石砖
Prismarine Slab,海晶石台阶
Prismarine Stairs,海晶石楼梯
Prismarine Wall,海晶石墙
Pumpkin,南瓜
Pumpkin Stem,南瓜茎
Purple Banner,紫色旗帜
Purple Bed,紫色床
Purple Candle,紫色蜡烛
Purple Carpet,紫色地毯
Purple Concrete,紫色混凝土
Purple Concrete Powder,紫色混凝土粉末
Purple Glazed Terracotta,紫色带釉陶瓦
Purple Shulker Box,紫色潜影盒
Purple Stained Glass,紫色染色玻璃
Purple Stained Glass Pane,紫色染色玻璃板
Purple Terracotta,紫色陶瓦
Purple Wall Banner,墙上的紫色旗帜
Purple Wool,紫色羊毛
Purpur Block,紫珀块
Purpur Pillar,紫珀柱
Purpur Slab,紫珀台阶
Purpur Stairs,紫珀楼梯
Quartz Bricks,石英砖
Quartz Pillar,石英柱
Quartz Slab,石英台阶
Quartz Stairs,石英楼梯
Rail,铁轨
Red Banner,红色旗帜
Red Bed,红色床
Red Candle,红色蜡烛
Red Carpet,红色地毯
Red Concrete,红色混凝土
Red Concrete Powder,红色混凝土粉末
Red Glazed Terracotta,红色带釉陶瓦
Red Mushroom,红色蘑菇
Red Mushroom Block,红色蘑菇方块
Red Nether Brick Slab,红色下界砖台阶
Red Nether Brick Stairs,红色下界砖楼梯
Red Nether Brick Wall,红色下界砖墙
Red Nether Bricks,红色下界砖块
Red Sand,红沙
Red Sandstone,红砂岩
Red Sandstone Slab,红砂岩台阶
Red Sandstone Stairs,红砂岩楼梯
Red Sandstone Wall,红砂岩墙
Red Shulker Box,红色潜影盒
Red Stained Glass,红色染色玻璃
Red Stained Glass Pane,红色染色玻璃板
Red Terracotta,红色陶瓦
Red Tulip,红色郁金香
Red Wall Banner,墙上的红色旗帜
Red Wool,红色羊毛
Redstone Comparator,红石比较器
Redstone Lamp,红石灯
Redstone Ore,红石矿石
Redstone Repeater,红石中继器
Redstone Torch,红石火把
Redstone Wall Torch,墙上的红石火把
Redstone Wire,红石线
Reinforced Deepslate,强化深板岩
Repeating Command Block,循环型命令方块
Respawn Anchor,重生锚
Rooted Dirt,缠根泥土
Roots,菌索
Rose Bush,玫瑰丛
Sand,沙子
Sandstone,砂岩
Sandstone Slab,砂岩台阶
Sandstone Stairs,砂岩楼梯
Sandstone Wall,砂岩墙
Sapling,树苗
Scaffolding,脚手架
Sculk,幽匿块
Sculk Catalyst,幽匿催发体
Sculk Sensor,幽匿感测体
Sculk Shrieker,幽匿尖啸体
Sculk Vein,幽匿脉络
Sea Lantern,海晶灯
Sea Pickle,海泡菜
Seagrass,海草
Short Grass,矮草丛
Shroomlight,菌光体
Shulker Box,潜影盒
Sign,告示牌
Skeleton Skull,骷髅头颅
Skeleton Wall Skull,墙上的骷髅头颅
Slab,台阶
Slime Block,黏液块
Small Amethyst Bud,小型紫晶芽
Small Dripleaf,小型垂滴叶
Smithing Table,锻造台
Smoker,烟熏炉
Smooth Basalt,平滑玄武岩
Smooth Quartz,平滑石英块
Smooth Quartz Block,平滑石英块
Smooth Quartz Slab,平滑石英台阶
Smooth Quartz Stairs,平滑石英楼梯
Smooth Red Sandstone,平滑红砂岩
Smooth Red Sandstone Slab,平滑红砂岩台阶
Smooth Red Sandstone Stairs,平滑红砂岩楼梯
Smooth Sandstone,平滑砂岩
Smooth Sandstone Slab,平滑砂岩台阶
Smooth Sandstone Stairs,平滑砂岩楼梯
Smooth Stone,平滑石头
Smooth Stone Slab,平滑石头台阶
Sniffer Egg,嗅探兽蛋
Snow,雪
Snow Block,雪块
Soul Campfire,灵魂营火
Soul Fire,灵魂火
Soul Lantern,灵魂灯笼
Soul Sand,灵魂沙
Soul Soil,灵魂土
Soul Torch,灵魂火把
Soul Wall Torch,墙上的灵魂火把
Sponge,海绵
Spore Blossom,孢子花
Spruce Button,云杉木按钮
Spruce Door,云杉木门
Spruce Fence,云杉木栅栏
Spruce Fence Gate,云杉木栅栏门
Spruce Hanging Sign,悬挂式云杉木告示牌
Spruce Leaves,云杉树叶
Spruce Log,云杉原木
Spruce Planks,云杉木板
Spruce Pressure Plate,云杉木压力板
Spruce Sapling,云杉树苗
Spruce Sign,云杉木告示牌
Spruce Slab,云杉木台阶
Spruce Stairs,云杉木楼梯
Spruce Trapdoor,云杉木活板门
Spruce Wall Hanging Sign,墙上的悬挂式云杉木告示牌
Spruce Wall Sign,墙上的云杉木告示牌
Spruce Wood,云杉木
Stained Glass,染色玻璃
Stained Glass Pane,染色玻璃板
Stairs,楼梯
Stem,菌柄
Sticky Piston,黏性活塞
Stone,石头
Stone Brick Slab,石砖台阶
Stone Brick Stairs,石砖楼梯
Stone Brick Wall,石砖墙
Stone Bricks,石砖
Stone Button,石头按钮
Stone Pressure Plate,石头压力板
Stone Slab,石头台阶
Stone Stairs,石头楼梯
Stonecutter,切石机
Stripped Acacia Log,去皮金合欢原木
Stripped Acacia Wood,去皮金合欢木
Stripped Birch Log,去皮白桦原木
Stripped Birch Wood,去皮白桦木
Stripped Cherry Log,去皮樱花原木
Stripped Cherry Wood,去皮樱花木
Stripped Crimson Hyphae,去皮绯红菌核
Stripped Crimson Stem,去皮绯红菌柄
Stripped Dark Oak Log,去皮深色橡木原木
Stripped Dark Oak Wood,去皮深色橡木
Stripped Hyphae,去皮菌核
Stripped Jungle Log,去皮丛林原木
Stripped Jungle Wood,去皮丛林木
Stripped Log,去皮原木
Stripped Mangrove Log,去皮红树原木
Stripped Mangrove Wood,去皮红树木
Stripped Oak Log,去皮橡木原木
Stripped Oak Wood,去皮橡木
Stripped Spruce Log,去皮云杉原木
Stripped Spruce Wood,去皮云杉木
Stripped Stem,去皮菌柄
Stripped Warped Hyphae,去皮诡异菌核
Stripped Warped Stem,去皮诡异菌柄
Stripped Wood,去皮木头
Structure Block,结构方块
Structure Void,结构空位
Sugar Cane,甘蔗
Sunflower,向日葵
Suspicious Gravel,可疑的沙砾
Suspicious Sand,可疑的沙子
Sweet Berry Bush,甜浆果丛
Tall Grass,高草丛
Tall Seagrass,高海草
Target,标靶
Terracotta,陶瓦
Tinted Glass,遮光玻璃
TNT,TNT
Torch,火把
Torchflower,火把花
Torchflower Crop,火把花植株
Trapdoor,活板门
Trapped Chest,陷阱箱
Trial Spawner,试炼刷怪笼
Tripwire,绊线
Tripwire Hook,绊线钩
Tube Coral,管珊瑚
Tube Coral Block,管珊瑚块
Tube Coral Fan,管珊瑚扇
Tube Coral Wall Fan,墙上的管珊瑚扇
Tuff,凝灰岩
Tuff Brick Slab,凝灰岩砖台阶
Tuff Brick Stairs,凝灰岩砖楼梯
Tuff Brick Wall,凝灰岩砖墙
Tuff Bricks,凝灰岩砖
Tuff Slab,凝灰岩台阶
Tuff Stairs,凝灰岩楼梯
Tuff Wall,凝灰岩墙
Turtle Egg,海龟蛋
Twisting Vines,缠怨藤
Twisting Vines Plant,缠怨藤植株
Verdant Froglight,青翠蛙明灯
Vines,藤蔓
Void Air,虚空空气
Wall,墙
Wall Banner,墙上的旗帜
Wall Hanging Sign,墙上的悬挂式告示牌
Wall Sign,墙上的告示牌
Wall Torch,墙上的火把
Warped Button,诡异木按钮
Warped Door,诡异木门
Warped Fence,诡异木栅栏
Warped Fence Gate,诡异木栅栏门
Warped Fungus,诡异菌
Warped Hanging Sign,悬挂式诡异木告示牌
Warped Hyphae,诡异菌核
Warped Nylium,诡异菌岩
Warped Planks,诡异木板
Warped Pressure Plate,诡异木压力板
Warped Roots,诡异菌索
Warped Sign,诡异木告示牌
Warped Slab,诡异木台阶
Warped Stairs,诡异木楼梯
Warped Stem,诡异菌柄
Warped Trapdoor,诡异木活板门
Warped Wall Hanging Sign,墙上的悬挂式诡异木告示牌
Warped Wall Sign,墙上的诡异木告示牌
Warped Wart Block,诡异疣块
Water,水
Water Cauldron,装有水的炼药锅
Waxed Block of Copper,涂蜡的铜块
Waxed Chiseled Copper,涂蜡的雕纹铜块
Waxed Copper Bulb,涂蜡的铜灯
Waxed Copper Door,涂蜡的铜门
Waxed Copper Grate,涂蜡的铜格栅
Waxed Copper Trapdoor,涂蜡的铜活板门
Waxed Cut Copper,涂蜡的切制铜块
Waxed Cut Copper Slab,涂蜡的切制铜台阶
Waxed Cut Copper Stairs,涂蜡的切制铜楼梯
Waxed Exposed Chiseled Copper,涂蜡的斑驳雕纹铜块
Waxed Exposed Copper,涂蜡的斑驳铜块
Waxed Exposed Copper Bulb,涂蜡的斑驳铜灯
Waxed Exposed Copper Door,涂蜡的斑驳铜门
Waxed Exposed Copper Grate,涂蜡的斑驳铜格栅
Waxed Exposed Copper Trapdoor,涂蜡的斑驳铜活板门
Waxed Exposed Cut Copper,涂蜡的斑驳切制铜块
Waxed Exposed Cut Copper Slab,涂蜡的斑驳切制铜台阶
Waxed Exposed Cut Copper Stairs,涂蜡的斑驳切制铜楼梯
Waxed Oxidized Chiseled Copper,涂蜡的氧化雕纹铜块
Waxed Oxidized Copper,涂蜡的氧化铜块
Waxed Oxidized Copper Bulb,涂蜡的氧化铜灯
Waxed Oxidized Copper Door,涂蜡的氧化铜门
Waxed Oxidized Copper Grate,涂蜡的氧化铜格栅
Waxed Oxidized Copper Trapdoor,涂蜡的氧化铜活板门
Waxed Oxidized Cut Copper,涂蜡的氧化切制铜块
Waxed Oxidized Cut Copper Slab,涂蜡的氧化切制铜台阶
Waxed Oxidized Cut Copper Stairs,涂蜡的氧化切制铜楼梯
Waxed Weathered Chiseled Copper,涂蜡的锈蚀雕纹铜块
Waxed Weathered Copper,涂蜡的锈蚀铜块
Waxed Weathered Copper Bulb,涂蜡的锈蚀铜灯
Waxed Weathered Copper Door,涂蜡的锈蚀铜门
Waxed Weathered Copper Grate,涂蜡的锈蚀铜格栅
Waxed Weathered Copper Trapdoor,涂蜡的锈蚀铜活板门
Waxed Weathered Cut Copper,涂蜡的锈蚀切制铜块
Waxed Weathered Cut Copper Slab,涂蜡的锈蚀切制铜台阶
Waxed Weathered Cut Copper Stairs,涂蜡的锈蚀切制铜楼梯
Weathered Chiseled Copper,锈蚀的雕纹铜块
Weathered Copper,锈蚀的铜块
Weathered Copper Bulb,锈蚀的铜灯
Weathered Copper Door,锈蚀的铜门
Weathered Copper Grate,锈蚀的铜格栅
Weathered Copper Trapdoor,锈蚀的铜活板门
Weathered Cut Copper,锈蚀的切制铜块
Weathered Cut Copper Slab,锈蚀的切制铜台阶
Weathered Cut Copper Stairs,锈蚀的切制铜楼梯
Weeping Vines,垂泪藤
Weeping Vines Plant,垂泪藤植株
Weighted Pressure Plate,测重压力板
Wet Sponge,湿海绵
Wheat Crops,小麦植株
White Banner,白色旗帜
White Bed,白色床
White Candle,白色蜡烛
White Carpet,白色地毯
White Concrete,白色混凝土
White Concrete Powder,白色混凝土粉末
White Glazed Terracotta,白色带釉陶瓦
White Shulker Box,白色潜影盒
White Stained Glass,白色染色玻璃
White Stained Glass Pane,白色染色玻璃板
White Terracotta,白色陶瓦
White Tulip,白色郁金香
White Wall Banner,墙上的白色旗帜
White Wool,白色羊毛
Wither Rose,凋灵玫瑰
Wither Skeleton Skull,凋灵骷髅头颅
Wither Skeleton Wall Skull,墙上的凋灵骷髅头颅
Wood,木头
Wool,羊毛
Yellow Banner,黄色旗帜
Yellow Bed,黄色床
Yellow Candle,黄色蜡烛
Yellow Carpet,黄色地毯
Yellow Concrete,黄色混凝土
Yellow Concrete Powder,黄色混凝土粉末
Yellow Glazed Terracotta,黄色带釉陶瓦
Yellow Shulker Box,黄色潜影盒
Yellow Stained Glass,黄色染色玻璃
Yellow Stained Glass Pane,黄色染色玻璃板
Yellow Terracotta,黄色陶瓦
Yellow Wall Banner,墙上的黄色旗帜
Yellow Wool,黄色羊毛
Zombie Head,僵尸的头
Zombie Wall Head,墙上的僵尸的头
Acacia Boat,金合欢木船
Acacia Boat With Chest,金合欢木运输船
Allay Spawn Egg,悦灵刷怪蛋
Amethyst Shard,紫水晶碎片
Angler Pottery Sherd,垂钓纹样陶片
Apple,苹果
Archer Pottery Sherd,弓箭纹样陶片
Armadillo Scute,犰狳鳞甲
Armadillo Spawn Egg,犰狳刷怪蛋
Armor Stand,盔甲架
Arms Up Pottery Sherd,举臂纹样陶片
Arrow,箭
Arrow of Decay,衰变之箭
Arrow of Fire Resistance,抗火之箭
Arrow of Harming,伤害之箭
Arrow of Healing,治疗之箭
Arrow of Invisibility,隐身之箭
Arrow of Leaping,跳跃之箭
Arrow of Luck,幸运之箭
Arrow of Night Vision,夜视之箭
Arrow of Poison,剧毒之箭
Arrow of Regeneration,再生之箭
Arrow of Slow Falling,缓降之箭
Arrow of Slowness,迟缓之箭
Arrow of Splashing,喷溅之箭
Arrow of Strength,力量之箭
Arrow of Swiftness,迅捷之箭
Arrow of The Turtle Master,神龟之箭
Arrow of Water Breathing,水肺之箭
Arrow of Weakness,虚弱之箭
Awkward Lingering Potion,滞留型粗制的药水
Awkward Potion,粗制的药水
Awkward Splash Potion,喷溅型粗制的药水
Axe,斧
Axolotl Spawn Egg,美西螈刷怪蛋
Baked Potato,烤马铃薯
Bamboo Raft,竹筏
Bamboo Raft With Chest,运输竹筏
Banner Pattern,旗帜图案
Bat Spawn Egg,蝙蝠刷怪蛋
Bee Spawn Egg,蜜蜂刷怪蛋
Beetroot,甜菜根
Beetroot Seeds,甜菜种子
Beetroot Soup,甜菜汤
Birch Boat,白桦木船
Birch Boat With Chest,白桦木运输船
Black Dye,黑色染料
Blade Pottery Sherd,利刃纹样陶片
Blaze Powder,烈焰粉
Blaze Rod,烈焰棒
Blaze Spawn Egg,烈焰人刷怪蛋
Blue Dye,蓝色染料
Bone,骨头
Bone Meal,骨粉
Book,书
Book And Quill,书与笔
Boots,靴子
Bottle o' Enchanting,附魔之瓶
Bow,弓
Bowl,碗
Bread,面包
Breeze Spawn Egg,旋风人刷怪蛋
Brewer Pottery Sherd,佳酿纹样陶片
Brick,红砖
Brown Dye,棕色染料
Brush,刷子
Bucket,铁桶
Bucket of Axolotl,美西螈桶
Bucket of Cod,鳕鱼桶
Bucket of Pufferfish,河豚桶
Bucket of Salmon,鲑鱼桶
Bucket of Tadpole,蝌蚪桶
Bucket of Tropical Fish,热带鱼桶
Bundle,收纳袋
Buried Treasure Map,藏宝图
Burn Pottery Sherd,烈焰纹样陶片
Camel Spawn Egg,骆驼刷怪蛋
Carrot,胡萝卜
Carrot On a Stick,胡萝卜钓竿
Cat Spawn Egg,猫刷怪蛋
Cave Spider Spawn Egg,洞穴蜘蛛刷怪蛋
Chainmail Boots,锁链靴子
Chainmail Chestplate,锁链胸甲
Chainmail Helmet,锁链头盔
Chainmail Leggings,锁链护腿
Charcoal,木炭
Cherry Boat,樱花木船
Cherry Boat With Chest,樱花木运输船
Chestplate,胸甲
Chicken Spawn Egg,鸡刷怪蛋
Chorus Fruit,紫颂果
Clay Ball,黏土球
Clock,时钟
Coal,煤炭
Coast Armor Trim Smithing Template,海岸盔甲纹饰锻造模板
Cocoa Beans,可可豆
Cod Spawn Egg,鳕鱼刷怪蛋
Compass,指南针
Cooked Chicken,熟鸡肉
Cooked Cod,熟鳕鱼
Cooked Mutton,熟羊肉
Cooked Porkchop,熟猪排
Cooked Rabbit,熟兔肉
Cooked Salmon,熟鲑鱼
Cookie,曲奇
Copper Ingot,铜锭
Cow Spawn Egg,牛刷怪蛋
Creeper Spawn Egg,苦力怕刷怪蛋
Crossbow,弩
Cyan Dye,青色染料
Danger Pottery Sherd,危机纹样陶片
Dark Oak Boat,深色橡木船
Dark Oak Boat With Chest,深色橡木运输船
Debug Stick,调试棒
Desert Village Map,沙漠村庄地图
Diamond,钻石
Diamond Axe,钻石斧
Diamond Boots,钻石靴子
Diamond Chestplate,钻石胸甲
Diamond Helmet,钻石头盔
Diamond Hoe,钻石锄
Diamond Horse Armor,钻石马铠
Diamond Leggings,钻石护腿
Diamond Pickaxe,钻石镐
Diamond Shovel,钻石锹
Diamond Sword,钻石剑
Disc Fragment,唱片残片
Dolphin Spawn Egg,海豚刷怪蛋
Donkey Spawn Egg,驴刷怪蛋
Dragon's Breath,龙息
Dried Kelp,干海带
Drowned Spawn Egg,溺尸刷怪蛋
Dune Armor Trim Smithing Template,沙丘盔甲纹饰锻造模板
Dye,染料
Echo Shard,回响碎片
Egg,鸡蛋
Elder Guardian Spawn Egg,远古守卫者刷怪蛋
Elytra,鞘翅
Emerald,绿宝石
Empty Map,空地图
Enchanted Book,附魔书
Enchanted Golden Apple,附魔金苹果
End Crystal,末地水晶
Ender Dragon Spawn Egg,末影龙刷怪蛋
Ender Pearl,末影珍珠
Enderman Spawn Egg,末影人刷怪蛋
Endermite Spawn Egg,末影螨刷怪蛋
Evoker Spawn Egg,唤魔者刷怪蛋
Explorer Pottery Sherd,探险纹样陶片
Eye Armor Trim Smithing Template,眼眸盔甲纹饰锻造模板
Eye of Ender,末影之眼
Feather,羽毛
Fermented Spider Eye,发酵蛛眼
Fire Charge,火焰弹
Firework Rocket,烟花火箭
Firework Star,烟火之星
Fishing Rod,钓鱼竿
Flint,燧石
Flint And Steel,打火石
Fox Spawn Egg,狐狸刷怪蛋
Friend Pottery Sherd,挚友纹样陶片
Frog Spawn Egg,青蛙刷怪蛋
Ghast Spawn Egg,恶魂刷怪蛋
Ghast Tear,恶魂之泪
Glass Bottle,玻璃瓶
Glistering Melon Slice,闪烁的西瓜片
Glow Berries,发光浆果
Glow Ink Sac,荧光墨囊
Glow Item Frame,荧光物品展示框
Glow Squid Spawn Egg,发光鱿鱼刷怪蛋
Glowstone Dust,荧石粉
Goat Horn,山羊角
Goat Spawn Egg,山羊刷怪蛋
Gold Ingot,金锭
Gold Nugget,金粒
Golden Apple,金苹果
Golden Axe,金斧
Golden Boots,金靴子
Golden Carrot,金胡萝卜
Golden Chestplate,金胸甲
Golden Helmet,金头盔
Golden Hoe,金锄
Golden Horse Armor,金马铠
Golden Leggings,金护腿
Golden Pickaxe,金镐
Golden Shovel,金锹
Golden Sword,金剑
Gray Dye,灰色染料
Green Dye,绿色染料
Guardian Spawn Egg,守卫者刷怪蛋
Gunpowder,火药
Heart of The Sea,海洋之心
Heart Pottery Sherd,爱心纹样陶片
Heartbreak Pottery Sherd,心碎纹样陶片
Helmet,头盔
Hoe,锄
Hoglin Spawn Egg,疣猪兽刷怪蛋
Honey Bottle,蜂蜜瓶
Honeycomb,蜜脾
Horse Armor,马铠
Horse Spawn Egg,马刷怪蛋
Host Armor Trim Smithing Template,雇主盔甲纹饰锻造模板
Howl Pottery Sherd,狼嚎纹样陶片
Husk Spawn Egg,尸壳刷怪蛋
Ink Sac,墨囊
Iron Axe,铁斧
Iron Boots,铁靴子
Iron Chestplate,铁胸甲
Iron Golem Spawn Egg,铁傀儡刷怪蛋
Iron Helmet,铁头盔
Iron Hoe,铁锄
Iron Horse Armor,铁马铠
Iron Ingot,铁锭
Iron Leggings,铁护腿
Iron Nugget,铁粒
Iron Pickaxe,铁镐
Iron Shovel,铁锹
Iron Sword,铁剑
Item Frame,物品展示框
Jungle Boat,丛林木船
Jungle Boat With Chest,丛林木运输船
Jungle Explorer Map,丛林探险家地图
Knowledge Book,知识之书
Lapis Lazuli,青金石
Lava Bucket,熔岩桶
Lead,拴绳
Leather,皮革
Leather Boots,皮革靴子
Leather Cap,皮革帽子
Leather Horse Armor,皮革马铠
Leather Pants,皮革裤子
Leather Tunic,皮革外套
Leggings,护腿
Light Blue Dye,淡蓝色染料
Light Gray Dye,淡灰色染料
Lime Dye,黄绿色染料
Lingering Potion,滞留药水
Lingering Potion of Fire Resistance,滞留型抗火药水
Lingering Potion of Harming,滞留型伤害药水
Lingering Potion of Healing,滞留型治疗药水
Lingering Potion of Invisibility,滞留型隐身药水
Lingering Potion of Leaping,滞留型跳跃药水
Lingering Potion of Luck,滞留型幸运药水
Lingering Potion of Night Vision,滞留型夜视药水
Lingering Potion of Poison,滞留型剧毒药水
Lingering Potion of Regeneration,滞留型再生药水
Lingering Potion of Slow Falling,滞留型缓降药水
Lingering Potion of Slowness,滞留型迟缓药水
Lingering Potion of Strength,滞留型力量药水
Lingering Potion of Swiftness,滞留型迅捷药水
Lingering Potion of The Turtle Master,滞留型神龟药水
Lingering Potion of Water Breathing,滞留型水肺药水
Lingering Potion of Weakness,滞留型虚弱药水
Lingering Uncraftable Potion,不可合成的滞留型药水
Lingering Water Bottle,滞留型水瓶
Llama Spawn Egg,羊驼刷怪蛋
Lodestone Compass,磁石指针
Magenta Dye,品红色染料
Magma Cream,岩浆膏
Magma Cube Spawn Egg,岩浆怪刷怪蛋
Mangrove Boat,红树木船
Mangrove Boat With Chest,红树木运输船
Map,地图
Melon Seeds,西瓜种子
Melon Slice,西瓜片
Milk Bucket,奶桶
Minecart,矿车
Minecart With Chest,运输矿车
Minecart With Command Block,命令方块矿车
Minecart With Furnace,动力矿车
Minecart With Hopper,漏斗矿车
Minecart With TNT,TNT矿车
Miner Pottery Sherd,采矿纹样陶片
Mooshroom Spawn Egg,哞菇刷怪蛋
Mourner Pottery Sherd,悲恸纹样陶片
Mule Spawn Egg,骡刷怪蛋
Mundane Lingering Potion,滞留型平凡的药水
Mundane Potion,平凡的药水
Mundane Splash Potion,喷溅型平凡的药水
Mushroom Stew,蘑菇煲
Music Disc,音乐唱片
Name Tag,命名牌
Nautilus Shell,鹦鹉螺壳
Nether Brick,下界砖
Nether Quartz,下界石英
