Item,Translation
Nether Star,下界之星
Netherite Axe,下界合金斧
Netherite Boots,下界合金靴子
Netherite Chestplate,下界合金胸甲
Netherite Helmet,下界合金头盔
Netherite Hoe,下界合金锄
Netherite Ingot,下界合金锭
Netherite Leggings,下界合金护腿
Netherite Pickaxe,下界合金镐
Netherite Scrap,下界合金碎片
Netherite Shovel,下界合金锹
Netherite Sword,下界合金剑
Netherite Upgrade Smithing Template,下界合金升级锻造模板
Oak Boat,橡木船
Oak Boat With Chest,橡木运输船
Ocean Explorer Map,海洋探险家地图
Ocelot Spawn Egg,豹猫刷怪蛋
Orange Dye,橙色染料
Painting,画
Panda Spawn Egg,熊猫刷怪蛋
Paper,纸
Parrot Spawn Egg,鹦鹉刷怪蛋
Phantom Membrane,幻翼膜
Phantom Spawn Egg,幻翼刷怪蛋
Pickaxe,镐
Pig Spawn Egg,猪刷怪蛋
Piglin Brute Spawn Egg,猪灵蛮兵刷怪蛋
Piglin Spawn Egg,猪灵刷怪蛋
Pillager Spawn Egg,掠夺者刷怪蛋
Pink Dye,粉红色染料
Pitcher Pod,瓶子草荚果
Plains Village Map,平原村庄地图
Plenty Pottery Sherd,富饶纹样陶片
Poisonous Potato,毒马铃薯
Polar Bear Spawn Egg,北极熊刷怪蛋
Popped Chorus Fruit,爆裂紫颂果
Potato,马铃薯
Potion,药水
Potion of Fire Resistance,抗火药水
Potion of Harming,伤害药水
Potion of Healing,治疗药水
Potion of Invisibility,隐身药水
Potion of Leaping,跳跃药水
Potion of Luck,幸运药水
Potion of Night Vision,夜视药水
Potion of Poison,剧毒药水
Potion of Regeneration,再生药水
Potion of Slow Falling,缓降药水
Potion of Slowness,迟缓药水
Potion of Strength,力量药水
Potion of Swiftness,迅捷药水
Potion of The Turtle Master,神龟药水
Potion of Water Breathing,水肺药水
Potion of Weakness,虚弱药水
Pottery Sherd,陶片
Powder Snow Bucket,细雪桶
Prismarine Crystals,海晶砂粒
Prismarine Shard,海晶碎片
Prize Pottery Sherd,珍宝纹样陶片
Pufferfish,河豚
Pufferfish Spawn Egg,河豚刷怪蛋
Pumpkin Pie,南瓜派
Pumpkin Seeds,南瓜种子
Purple Dye,紫色染料
Rabbit Hide,兔子皮
Rabbit Spawn Egg,兔子刷怪蛋
Rabbit Stew,兔肉煲
Rabbit's Foot,兔子脚
Raiser Armor Trim Smithing Template,牧民盔甲纹饰锻造模板
Ravager Spawn Egg,劫掠兽刷怪蛋
Raw Beef,生牛肉
Raw Chicken,生鸡肉
Raw Cod,生鳕鱼
Raw Copper,粗铜
Raw Gold,粗金
Raw Iron,粗铁
Raw Mutton,生羊肉
Raw Porkchop,生猪排
Raw Rabbit,生兔肉
Raw Salmon,生鲑鱼
Recovery Compass,追溯指针
Red Dye,红色染料
Redstone Dust,红石粉
Rib Armor Trim Smithing Template,肋骨盔甲纹饰锻造模板
Rotten Flesh,腐肉
Saddle,鞍
Salmon Spawn Egg,鲑鱼刷怪蛋
Savanna Village Map,热带草原村庄地图
Scute,鳞甲
Sentry Armor Trim Smithing Template,哨兵盔甲纹饰锻造模板
Shaper Armor Trim Smithing Template,塑造盔甲纹饰锻造模板
Sheaf Pottery Sherd,麦捆纹样陶片
Shears,剪刀
Sheep Spawn Egg,绵羊刷怪蛋
Shelter Pottery Sherd,树荫纹样陶片
Shield,盾牌
Shovel,锹
Shulker Shell,潜影壳
Shulker Spawn Egg,潜影贝刷怪蛋
Silence Armor Trim Smithing Template,幽静盔甲纹饰锻造模板
Silverfish Spawn Egg,蠹虫刷怪蛋
Skeleton Horse Spawn Egg,骷髅马刷怪蛋
Skeleton Spawn Egg,骷髅刷怪蛋
Skull Pottery Sherd,头颅纹样陶片
Slime Spawn Egg,史莱姆刷怪蛋
Slimeball,黏液球
Smithing Template,锻造模板
Sniffer Spawn Egg,嗅探兽刷怪蛋
Snort Pottery Sherd,嗅探纹样陶片
Snout Armor Trim Smithing Template,猪鼻盔甲纹饰锻造模板
Snow Golem Spawn Egg,雪傀儡刷怪蛋
Snowball,雪球
Snowy Village Map,雪原村庄地图
Spawn Egg,刷怪蛋
Spectral Arrow,光灵箭
Spider Eye,蜘蛛眼
Spider Spawn Egg,蜘蛛刷怪蛋
Spire Armor Trim Smithing Template,尖塔盔甲纹饰锻造模板
Splash Potion,喷溅药水
Splash Potion of Fire Resistance,喷溅型抗火药水
Splash Potion of Harming,喷溅型伤害药水
Splash Potion of Healing,喷溅型治疗药水
Splash Potion of Invisibility,喷溅型隐身药水
Splash Potion of Leaping,喷溅型跳跃药水
Splash Potion of Luck,喷溅型幸运药水
Splash Potion of Night Vision,喷溅型夜视药水
Splash Potion of Poison,喷溅型剧毒药水
Splash Potion of Regeneration,喷溅型再生药水
Splash Potion of Slow Falling,喷溅型缓降药水
Splash Potion of Slowness,喷溅型迟缓药水
Splash Potion of Strength,喷溅型力量药水
Splash Potion of Swiftness,喷溅型迅捷药水
Splash Potion of The Turtle Master,喷溅型神龟药水
Splash Potion of Water Breathing,喷溅型水肺药水
Splash Potion of Weakness,喷溅型虚弱药水
Splash Uncraftable Potion,不可合成的喷溅型药水
Splash Water Bottle,喷溅型水瓶
Spruce Boat,云杉木船
Spruce Boat With Chest,云杉木运输船
Spyglass,望远镜
Squid Spawn Egg,鱿鱼刷怪蛋
Steak,牛排
Stick,木棍
Stone Axe,石斧
Stone Hoe,石锄
Stone Pickaxe,石镐
Stone Shovel,石锹
Stone Sword,石剑
Stray Spawn Egg,流浪者刷怪蛋
Strider Spawn Egg,炽足兽刷怪蛋
String,字符串
Sugar,糖
Suspicious Stew,谜之炖菜
Swamp Explorer Map,沼泽探险家地图
Sweet Berries,甜浆果
Sword,剑
Tadpole Spawn Egg,蝌蚪刷怪蛋
Taiga Village Map,针叶林村庄地图
Thick Lingering Potion,滞留型浓稠的药水
Thick Potion,浓稠的药水
Thick Splash Potion,喷溅型浓稠的药水
Tide Armor Trim Smithing Template,潮汐盔甲纹饰锻造模板
Tipped Arrow,药箭
Torchflower Seeds,火把花种子
Totem of Undying,不死图腾
Trader Llama Spawn Egg,行商羊驼刷怪蛋
Trial Key,试炼钥匙
Trident,三叉戟
Tropical Fish,热带鱼
Tropical Fish Spawn Egg,热带鱼刷怪蛋
Turtle Scute,海龟鳞甲
Turtle Shell,海龟壳
Turtle Spawn Egg,海龟刷怪蛋
Uncraftable Potion,不可合成的药水
Uncraftable Tipped Arrow,不可合成的药箭
Vex Armor Trim Smithing Template,恼鬼盔甲纹饰锻造模板
Vex Spawn Egg,恼鬼刷怪蛋
Villager Spawn Egg,村民刷怪蛋
Vindicator Spawn Egg,卫道士刷怪蛋
Wandering Trader Spawn Egg,流浪商人刷怪蛋
Ward Armor Trim Smithing Template,监守盔甲纹饰锻造模板
Warden Spawn Egg,监守者刷怪蛋
Warped Fungus On a Stick,诡异菌钓竿
Water Bottle,水瓶
Water Bucket,水桶
Wayfinder Armor Trim Smithing Template,向导盔甲纹饰锻造模板
Wheat,小麦
Wheat Seeds,小麦种子
White Dye,白色染料
Wild Armor Trim Smithing Template,荒野盔甲纹饰锻造模板
Witch Spawn Egg,女巫刷怪蛋
Wither Skeleton Spawn Egg,凋灵骷髅刷怪蛋
Wither Spawn Egg,凋灵刷怪蛋
Wolf Armor,狼铠
Wolf Spawn Egg,狼刷怪蛋
Wooden Axe,木斧
Wooden Hoe,木锄
Wooden Pickaxe,木镐
Wooden Shovel,木锹
Wooden Sword,木剑
Woodland Explorer Map,林地探险家地图
Written Book,成书
Yellow Dye,黄色染料
Zoglin Spawn Egg,僵尸疣猪兽刷怪蛋
Zombie Horse Spawn Egg,僵尸马刷怪蛋
Zombie Spawn Egg,僵尸刷怪蛋
Zombie Villager Spawn Egg,僵尸村民刷怪蛋
Zombified Piglin Spawn Egg,僵尸猪灵刷怪蛋
Allay,悦灵
Area Effect Cloud,区域效果云
Armadillo,犰狳
Axolotl,美西螈
Bat,蝙蝠
Bee,蜜蜂
Blaze,烈焰人
Block Display,方块展示实体
Boat,船
Boat With Chest,运输船
Breeze,旋风人
Camel,骆驼
Cat,猫
Cave Spider,洞穴蜘蛛
Chicken,鸡
Cod,鳕鱼
Cow,牛
Creeper,苦力怕
Dolphin,海豚
Donkey,驴
Dragon Fireball,末影龙火球
Drowned,溺尸
Elder Guardian,远古守卫者
Ender Dragon,末影龙
Enderman,末影人
Endermite,末影螨
Evoker,唤魔者
Evoker Fangs,唤魔者尖牙
Experience Orb,经验球
Falling Block,下落的方块
Fireball,火球
Fishing Bobber,浮漂
Fox,狐狸
Frog,青蛙
Ghast,恶魂
Giant,巨人
Glow Squid,发光鱿鱼
Goat,山羊
Guardian,守卫者
Hoglin,疣猪兽
Horse,马
Husk,尸壳
Illusioner,幻术师
Interaction,交互实体
Iron Golem,铁傀儡
Item,物品
Item Display,物品展示实体
Leash Knot,拴绳结
Lightning Bolt,闪电束
Llama,羊驼
Llama Spit,羊驼唾沫
Magma Cube,岩浆怪
Marker,标记
Minecart With Monster Spawner,刷怪笼矿车
Mooshroom,哞菇
Mule,骡
Ocelot,豹猫
Panda,熊猫
Parrot,鹦鹉
Phantom,幻翼
Pig,猪
Piglin,猪灵
Piglin Brute,猪灵蛮兵
Pillager,掠夺者
Player,玩家
Polar Bear,北极熊
Primed TNT,被激活的TNT
Rabbit,兔子
Ravager,劫掠兽
Salmon,鲑鱼
Sheep,绵羊
Shulker,潜影贝
Shulker Bullet,潜影弹
Silverfish,蠹虫
Skeleton,骷髅
Skeleton Horse,骷髅马
Slime,史莱姆
Small Fireball,小火球
Sniffer,嗅探兽
Snow Golem,雪傀儡
Spider,蜘蛛
Squid,鱿鱼
Stray,流浪者
Strider,炽足兽
Tadpole,蝌蚪
Text Display,文本展示实体
The Killer Bunny,杀手兔
Thrown Bottle o' Enchanting,掷出的附魔之瓶
Thrown Egg,掷出的鸡蛋
Thrown Ender Pearl,掷出的末影珍珠
Trader Llama,行商羊驼
Turtle,海龟
Vex,恼鬼
Villager,村民
Vindicator,卫道士
Wandering Trader,流浪商人
Warden,监守者
Wind Charge,风弹
Witch,女巫
Wither,凋零
Wither Skeleton,凋灵骷髅
Wither Skull,凋灵之首
Wolf,狼
Zoglin,僵尸疣猪兽
Zombie,僵尸
Zombie Horse,僵尸马
Zombie Villager,僵尸村民
Zombified Piglin,僵尸猪灵
Acacia Tree,金合欢树
Altitude,高度
Ambience,环境音效
Amethyst Geode,紫晶洞
Amplified,放大化
Ancient City,远古城市
Aquifer,含水层
Azalea Tree,杜鹃树
Basalt Column,玄武岩石柱林
Basalt Pillar,玄武岩柱
Bastion Remnant,堡垒遗迹
Beacon Pyramid,信标金字塔
Biomes,生物群系
Birch Tree,白桦树
Blocks,方块
Bonus Chest,奖励箱
Brick Pyramid,红砖块金字塔
Bryce Pillar,岩柱
Buffet Mode,自选世界类型
Buried Treasure,埋藏的宝藏
Canyon,峡谷
Cave,洞穴
Cherry Blossom Tree,樱花树
Chorus Tree,紫颂树
Chunks,区块
Cliff,悬崖
Clouds,云
Conduit Frame,潮涌核心框架
Coral Reef,珊瑚礁
Custom,自定义
Dark Oak Tree,深色橡树
Daylight Cycle,昼夜更替
Debug Mode,调试模式
Default,默认
Delta,三角洲
Desert Pyramid,沙漠神殿
Desert Well,沙漠水井
Dimensions,维度
Disk,圆盘
Dripstone Cluster,滴水石簇
Dungeon,地牢
Embankment,堤岸
Enchanting Library,附魔用图书馆
End City,末地城
End Ship,末地船
Entities,实体
Exit Portal,返回传送门
Explosion,爆炸
Far Lands,边境之地
Floating Island,浮岛
Fluids,液体
Fortress,下界要塞
Fossil,化石
Glowstone Blob,荧石堆
Hill,丘陵
Huge Brown Mushroom,巨型棕色蘑菇
Huge Crimson Fungus,巨型绯红菌
Huge Fungus,巨型菌类
Huge Red Mushroom,巨型红色蘑菇
Huge Warped Fungus,巨型诡异菌
Ice Spike,冰刺
Iceberg,冰山
Igloo,雪屋
Island,岛屿
Items,物品
Jungle Pyramid,丛林神庙
Jungle Tree,丛林树
Lake,湖
Large Biomes,巨型生物群系
Lava Lake,熔岩湖
Lava Sea,熔岩海
Liquids,液体
Mangrove Tree,红树
Mansion,林地府邸
Mineshaft,废弃矿井
Mobs,生物
Monolith,独石柱
Moon,月亮
Mossy Cobblestone Boulder,生苔的巨石
Mountain,山地
Music,音乐
Nether Cave,下界洞穴
Nether Fortress,下界要塞
Nether Fossil,下界化石
Nether Reactor,下界反应器
Noise Cave,噪声洞穴
Oak Tree,橡树
Obsidian Pillar,黑曜石柱
Obsidian Platform,黑曜石平台
Ocean Monument,海底神殿
Ocean Ruins,海底废墟
Ore,矿石
Overworld,主世界
Pillager Outpost,掠夺者前哨站
Projectile,弹射物
Rain,降雨
Random Patch,随机斑块
Renewable Resource,可再生资源
Ruined Portal,废弃传送门
Shipwreck,沉船
Sky Dimension,天域
Snowfall,降雪
Spring,涌泉
Spruce Tree,云杉树
Stars,星星
Stone Platform,石头平台
Stronghold,要塞
Sun,太阳
Superflat,超平坦
Swamp Hut,沼泽小屋
The End,末地
The Nether,下界
The Void,虚空
Thunderstorm,雷暴
Trail Ruins,古迹废墟
Tree,树木
Underwater Cave,水下洞穴
Underwater Ravine,水下峡谷
Underwater Ruins,海底废墟
Village,村庄
Weather,天气
Witch Hut,女巫小屋
Woodland Mansion,林地府邸
World Border,世界边界
World Boundary,世界界限
Badlands,恶地
Badlands Plateau,恶地高原
Bamboo Jungle,竹林
Basalt Deltas,玄武岩三角洲
Beach,沙滩
Birch Forest,桦木森林
Cherry Grove,樱花树林
Cold Ocean,冷水海洋
Crimson Forest,绯红森林
Dark Forest,黑森林
Deep Cold Ocean,冷水深海
Deep Dark,深暗之域
Deep Frozen Ocean,冰冻深海
Deep Lukewarm Ocean,温水深海
Deep Ocean,深海
Deep Warm Ocean,暖水深海
Desert,沙漠
Dripstone Caves,溶洞
End Barrens,末地荒地
End Highlands,末地高地
End Midlands,末地内陆
Eroded Badlands,风蚀恶地
Flower Forest,繁花森林
Forest,森林
Frozen Ocean,冻洋
Frozen Peaks,冰封山峰
Frozen River,冻河
Grove,雪林
Ice Spikes,冰刺之地
Jagged Peaks,尖峭山峰
Jungle,丛林
Lukewarm Ocean,温水海洋
Lush Caves,繁茂洞穴
Mangrove Swamp,红树林沼泽
Meadow,草甸
Mushroom Fields,蘑菇岛
Nether,下界
Nether Wastes,下界荒地
Ocean,海洋
Old Growth Birch Forest,原始桦木森林
Old Growth Pine Taiga,原始松木针叶林
Old Growth Spruce Taiga,原始云杉针叶林
Plains,平原
River,河流
Savanna,热带草原
Savanna Plateau,热带高原
Small End Islands,末地小型岛屿
Snowy Beach,积雪沙滩
Snowy Mountains,雪山
Snowy Plains,雪原
Snowy Slopes,积雪山坡
Snowy Taiga,积雪针叶林
Soul Sand Valley,灵魂沙峡谷
Sparse Jungle,稀疏丛林
Stony Peaks,裸岩山峰
Stony Shore,石岸
Sunflower Plains,向日葵平原
Swamp,沼泽
Taiga,针叶林
Tundra,冻原
Warm Ocean,暖水海洋
Warped Forest,诡异森林
Windswept Forest,风袭森林
Windswept Gravelly Hills,风袭沙砾丘陵
Windswept Hills,风袭丘陵
Windswept Savanna,风袭热带草原
Wooded Badlands,疏林恶地
Absorption,伤害吸收
Bad Luck,霉运
Bad Omen,不祥之兆
Blindness,失明
Conduit Power,潮涌能量
Darkness,黑暗
Dolphin's Grace,海豚的恩惠
Fire Resistance,抗火
Glowing,发光
Haste,急迫
Health Boost,生命提升
Hero of The Village,村庄英雄
Hunger,饥饿
Instant Damage,瞬间伤害
Instant Health,瞬间治疗
Invisibility,隐身
Jump Boost,跳跃提升
Levitation,飘浮
Luck,幸运
Mining Fatigue,挖掘疲劳
Nausea,反胃
Night Vision,夜视
Poison,中毒
Regeneration,生命恢复
Resistance,抗性提升
Saturation,饱和
Slow Falling,缓降
Slowness,缓慢
Speed,迅捷
Strength,力量
Water Breathing,水下呼吸
Weakness,虚弱
Aqua Affinity,水下速掘
Bane of Arthropods,节肢杀手
Blast Protection,爆炸保护
Channeling,引雷
Curse of Binding,绑定诅咒
Curse of Vanishing,消失诅咒
Depth Strider,深海探索者
Efficiency,效率
Feather Falling,摔落缓冲
Fire Aspect,火焰附加
Fire Protection,火焰保护
Flame,火矢
Fortune,时运
Frost Walker,冰霜行者
Impaling,穿刺
Infinity,无限
Knockback,击退
Looting,抢夺
Loyalty,忠诚
Luck of The Sea,海之眷顾
Lure,饵钓
Mending,经验修补
Multishot,多重射击
Piercing,穿透
Power,力量
Projectile Protection,弹射物保护
Protection,保护
Punch,冲击
Quick Charge,快速装填
Respiration,水下呼吸
Riptide,激流
Sharpness,锋利
Silk Touch,精准采集
Smite,亡灵杀手
Soul Speed,灵魂疾行
Sweeping Edge,横扫之刃
Swift Sneak,迅捷潜行
Thorns,荆棘
Unbreaking,耐久
A Balanced Diet,均衡饮食
A Complete Catalogue,百猫全书
A Furious Cocktail,狂乱的鸡尾酒
A Seedy Place,开荒垦地
A Terrible Fortress,阴森的要塞
A Throwaway Joke,抖包袱
Acquire Hardware,来硬的
Adventure,冒险模式
Adventuring Time,探索的时光
Arbalistic,劲弩手
Beaconator,信标工程师
Bee Our Guest,与蜂共舞
Best Friends Forever,永恒的伙伴
Birthday Song,生日快乐歌
Bring Home the Beacon,带信标回家
Bukkit Bukkit,蚪到桶里来
Bullseye,正中靶心
Careful Restoration,精修细补
Caves & Cliffs,洞穴与山崖
"Country Lode, Take Me Home",天涯共此石
Cover Me in Debris,残骸裹身
Cover Me with Diamonds,钻石护体
Crafting a New Look,旧貌锻新颜
Diamonds!,钻石！
Enchanter,附魔师
Eye Spy,隔墙有眼
Feels Like Home,温暖如家
Fishy Business,腥味十足的生意
Free the End,解放末地
Getting an Upgrade,获得升级
Glow and Behold!,眼前一亮！
Great View From Up Here,这上面的风景不错
Hero of the Village,村庄英雄
Hidden in the Depths,深藏不露
Hired Help,招募援兵
Hot Stuff,热腾腾的
Hot Tourist Destinations,热门景点
How Did We Get Here?,为什么会变成这样呢？
Husbandry,农牧业
Ice Bucket Challenge,冰桶挑战
Into Fire,与火共舞
Is It a Balloon?,那是气球吗？
Is It a Bird?,那是鸟吗？
Is It a Plane?,那是飞机吗？
Isn't It Iron Pick,这不是铁镐么
It Spreads,它蔓延了
Light as a Rabbit,轻功雪上飘
Little Sniffs,小小嗅探兽
Local Brewery,本地酿造厂
Minecraft,Minecraft
Monster Hunter,怪物猎人
Monsters Hunted,资深怪物猎人
"Not Quite ""Nine"" Lives",锚没有九条命
"Not Today, Thank You",不吃这套，谢谢
Oh Shiny,金光闪闪
Ol' Betsy,扣下悬刀
Planting the Past,播种往事
Postmortal,超越生死
Remote Getaway,远程折跃
Respecting the Remnants,探古寻源
Return to Sender,见鬼去吧
Serious Dedication,终极奉献
Sky's the Limit,天空即为极限
Smells Interesting,怪味蛋
Smithing with Style,匠心独具
Sneak 100,潜行100级
Sniper Duel,狙击手的对决
Sound of Music,音乐之声
Spooky Scary Skeleton,惊悚恐怖骷髅头
Star Trader,星际商人
Sticky Situation,胶着状态
Stone Age,石器时代
Subspace Bubble,曲速泡
Suit Up,整装上阵
Surge Protector,电涌保护器
Sweet Dreams,甜蜜的梦
Tactical Fishing,战术性钓鱼
Take Aim,瞄准目标
The City at the End of the Game,在游戏尽头的城市
The Cutest Predator,最萌捕食者
The End... Again...,结束了…再一次…
The End?,结束了？
The Healing Power of Friendship!,友谊的治愈力！
The Next Generation,下一世代
The Parrots and the Bats,我从哪儿来？
The Power of Books,知识就是力量
This Boat Has Legs,画船添足
Those Were the Days,光辉岁月
Total Beelocation,举巢搬迁
"Two Birds, One Arrow",一箭双雕
Two by Two,成双成对
Uneasy Alliance,脆弱的同盟
Very Very Frightening,魔女审判
Voluntary Exile,自我放逐
War Pigs,战猪
Wax Off,脱蜡
Wax On,涂蜡
We Need to Go Deeper,勇往直下
What a Deal!,成交！
Whatever Floats Your Goat!,羊帆起航！
When the Squad Hops into Town,呱呱队出动
Who is Cutting Onions?,谁在切洋葱？
Who's the Pillager Now?,现在谁才是掠夺者？
With Our Powers Combined!,相映生辉！
Withering Heights,凋零山庄
You Need a Mint,你需要来点薄荷糖
You've Got a Friend in Me,找到一个好朋友
Zombie Doctor,僵尸科医生
Peaceful,和平
Easy,简单
Normal,普通
Hard,困难
Creative,创造模式
Survival,生存模式
Hardcore,极限模式
Spectator,旁观模式
Demo,演示模式
NaN,演示版
Survival Singleplayer (SSP),单人生存模式
Survival Multiplayer (SMP),多人生存模式
Creative Singleplayer (CSP),单人创造模式
Creative Multiplayer (CMP),多人创造模式
Hardcore Singleplayer (HSP),单人极限模式
Hardcore Multiplayer (HMP),多人极限模式
Adventure Singleplayer (ASP),单人冒险模式
Adventure Multiplayer (AMP),多人冒险模式
Launcher,启动器
Bedrock Edition,基岩版
Education Edition,教育版
Java Edition,Java版
Legacy Console Edition,原主机版
New Nintendo 3DS Edition,New Nintendo 3DS版
Pocket Edition,携带版
Version history,版本记录
Development cycle,开发周期
Upcoming,即将到来
Planned version,计划版本
Feature,特性
Snapshot,快照
Pre-release,预发布版
Release candidate,发布候选
Build,开发版
Mentioned feature,提及特性
Removed feature,已移除特性
Exclusive feature,独有特性
Unused feature,未使用特性
Easter egg,彩蛋
Seecret Friday Update,秘密周五更新
Adventure Update,冒险更新
Pretty Scary Update,骇人更新
Horse Update,马匹更新
Bountful Update,缤纷更新
Frostburn Update,霜炙更新
Exploration Update,探险更新
Colorful Update,多彩世界更新
Update Aquatic,水域更新
Village and Pillage,村庄与掠夺
Buzzy Bees,嗡嗡蜂群
Nether Update,下界更新
The Wild Update,荒野更新
Trails & Tales,足迹与故事
Pocket Edition Alpha,携带版Alpha
Pocket Edition Lite,携带版Lite
Bedrock Edition alpha,基岩版alpha
Bedrock Edition beta,基岩版beta
Ender Update,末影更新
Discovery Update,探索更新
Better Together Update,独乐不如众乐更新
Add-on,附加包
Argument,（实际）参数
Asset,资源
Block state (BS),方块状态
Bug,漏洞
Command,命令
Component,组件
Crash,崩溃
Data pack,数据包
Data value (DV),数据值
Damage value,损害值
Debug screen,调试屏幕
Despawn,清除
Dummy,虚拟型
Field,字段
Fixes,修复
Format,格式
Formatting code,格式化代码
Flattening,扁平化
Function,函数
Generation,生成
GUI,图形用户界面
Hotfix,热修复
Interpret,解析
Long,长整型
Mash-up pack,混搭包
Mob cap,生物容量
Modify,修改
Module,模块
Option,选项
Outdated,过期
Parameter,（形式）参数
Particle,粒子
Placeholder,占位符
Present,选定
Range,范围
Respawn,重生
Screenshot,截图
Setting,设置
Spawn chunk,出生点区块
Spawn point,出生点
Sprite,拼合图
Syntax,语法
Template,模板
Texture,纹理
Tick,刻
Ticking area,常加载区域
Toast,弹窗
Hotbar,快捷栏
Actionbar,动作栏
Added...,加入了……
Addition,新内容
Available,可用的
Behavior,行为
Chance,概率
Changes,更改
Destroy,摧毁
Disambig,消歧义
Gallery,画廊
Gameplay,游戏内容
General,常规
Implement,实现
Improve,改进
Interwiki,跨Wiki链接
Kill,杀死
Label,标签
Legend,图例
Manufacture,人造
Natural,自然
Obtain,获取
Parity,趋同
Performance,性能
Redirect,重定向
Reference,参考
Release,发布
Removed...,移除了……
Sandbox,沙盒
Scale,缩放
See also,参见
Size,大小
Stack,堆叠数
Table,表格
Trivia,你知道吗
Utility,效用型
Usage,用途
Vanilla,原版
Variant,变种
Workplace,工作站
